yy,khooks,tans,khooks_sc,tans_sc
1945,0.5,,2.99604799697653e-06,0
1946,2.75429118242193,,1.65039771603707e-05,0
1947,15.1722398351344,,9.09135175354037e-05,0
1948,83.5775327910026,,0.000500804599421447,0
1949,460.393723229676,,0.00275872338460567,0
1950,2536.11674466779,,0.0151966549859212,0
1951,13970.4079748622,,0.0837120256600618,0
1952,76957.143,,0.461134588276373,0
1953,85212.791,,0.51060322358466,0
1954,94928.43,,0.568820265115254,0
1955,96846.619,,0.580314237737799,0
1956,98017.65,,0.587331167901694,0
1957,95059.722,,0.569606979382492,0
1958,107966.42,,0.646945152763454,0
1959,120471.758,,0.721878338496283,0
1960,147900.081,,0.886231482865434,0
1961,138860.907,,0.832067884551389,0
1962,102664.672,,0.615176569811705,0
1963,124429.245,,0.745591980495104,0
1964,101565.053,,0.60858754720693,0
1965,126046.149,,0.755280624476111,0
1966,114186.66,,0.68421742794888,0
1967,166702.636,,0.998898197357016,0
1968,166886.512,,1,0
1969,131851.036,,0.790064064614161,0
1970,131691.232,,0.789106503705943,0
1971,126509.109,,0.758054725237471,0
1972,84890.565,,0.508672414460912,0
1973,90022.472,,0.539423293836952,0
1974,80119.226,,0.48008209315322,0
1975,94517.79,,0.566359670816297,0
1976,104328.099,,0.625143984074639,0
1977,93332.064,1,0.559254686801771,1.6488063293454e-08
1978,129954.288,24.3669443190444,0.778698568521823,4.01763720200474e-07
1979,144527.85,681.986828310966,0.866024750999649,1.12446419904932e-05
1980,138355.332,20918.1575007803,0.829038430619246,0.000344899904855305
1981,117762.513,674672.594963806,0.705644282385146,0.0111240444481221
1982,121631.308,22305099.6658462,0.728826473406071,0.367767895057272
1983,122674.707,30859707,0.735078620374066,0.508816802233447
1984,119248.575,41757868,0.714548908542111,0.688506370583699
1985,112389.982,47966796,0.673451560902657,0.790879568432198
1986,117181.349,53954526,0.702161891908916,0.889605639656312
1987,123749.095,51798494,0.741516456404817,0.854056847577599
1988,134251.785,60649937,0.804449583079548,1
1989,116925.337,59165348,0.700627843429312,0.975522002603234
1990,84352.808,47360362,0.505450122895492,0.780880646256896
1991,107387.57,47360362,0.643476627997354,0.780880646256896
1992,165241.492,47360362,0.990142882248027,0.780880646256896
1993,100335.395,,0.601219318431198,0
1994,103902.13,,0.62259153693619,0
